,0
death_5yr_adj_cmm,0.9285144924976357
death_5yr_unadj_cmm,0.9285144923654373
death_1yr_adj_cmm,0.9372081801017226
death_1yr_unadj_cmm,0.9372081802031172
adm_5yr_adj_cmm,0.6920420054834879
adm_5yr_unadj_cmm,0.6920420053923914
adm_1yr_adj_cmm,0.713702644622103
adm_1yr_unadj_cmm,0.7137026445948897
appt_5yr_adj_cmm,0.5792779442906608
appt_5yr_unadj_cmm,0.5792779441148966
appt_1yr_adj_cmm,0.5884888374698695
appt_1yr_unadj_cmm,0.5884888372225019
death_5yr_adj_seg,0.9316771697540488
death_5yr_unadj_seg,0.9313527194836441
death_1yr_adj_seg,0.9421856218075445
death_1yr_unadj_seg,0.941271809816546
adm_5yr_adj_seg,0.6985977008926362
adm_5yr_unadj_seg,0.7007187370067275
adm_1yr_adj_seg,0.7236871287642808
adm_1yr_unadj_seg,0.7248117500572772
appt_5yr_adj_seg,0.5818957500123944
appt_5yr_unadj_seg,0.5899358716414396
appt_1yr_adj_seg,0.5911293224610115
appt_1yr_unadj_seg,0.5995322985000786
death_5yr_adj_comb,0.9316771697540488
death_5yr_unadj_comb,0.9313527194836441
death_1yr_adj_comb,0.9421856218075445
death_1yr_unadj_comb,0.941271809816546
adm_5yr_adj_comb,0.6985977008926362
adm_5yr_unadj_comb,0.7007187370067275
adm_1yr_adj_comb,0.7236871287642808
adm_1yr_unadj_comb,0.7248117500572772
appt_5yr_adj_comb,0.5818957500123944
appt_5yr_unadj_comb,0.5899358716414396
appt_1yr_adj_comb,0.5911293224610115
appt_1yr_unadj_comb,0.5995322985000786
